CLIENTNUM,Email,FirstName,LastName,Phone Number,Zip Code,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
720466383,jacobf@google.com,Jacob,Flores,415-896-3209,10001,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374.0,13410.0,0.921,1197,23,1.3,0.093
804424383,jasonyoung@ymail.com,Jason,Young,312-618-6322,10002,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010.0,9205.0,0.843,1904,40,1.0,0.099
718813833,kroberts@apple.com,Kimberly,Roberts,212-702-8850,60003,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0.0,10100.0,0.525,1052,18,1.571,0.0
806624208,rlopez@google.com,Richard,Lopez,415-756-6529,10003,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362.0,3423.0,0.739,1045,38,0.9,0.285
778348233,matthew.taylor@aol.com,Matthew,Taylor,888-219-3234,30002,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811.0,942.0,0.977,1038,25,2.571,0.658
712991808,krobinson@oracle.com,Kenneth,Robinson,212-382-9041,70005,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690.0,761.0,1.323,1596,26,1.6,0.69
709029408,dyoung@intel.com,Daniel,Young,312-904-3397,30002,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517.0,6406.0,1.726,1589,24,1.667,0.282
788658483,jflores@gmail.com,Jessica,Flores,212-655-9352,20003,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490.0,1160.0,1.75,1411,28,1.0,0.562
787937058,larrybrown@microsoft.com,Larry,Brown,312-855-9169,20003,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696.0,10859.0,0.519,1291,24,0.714,0.135
715318008,betty.wilson@apple.com,Betty,Wilson,212-814-4660,40003,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914.0,1606.0,0.51,1407,43,0.483,0.544
713962233,donnacarter@microsoft.com,Donna,Carter,503-444-9153,60005,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298.0,737.0,1.724,1877,37,1.176,0.757
785432733,dorothywilson@ibm.com,Dorothy,Wilson,888-315-4234,60002,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0.0,15433.0,0.865,966,22,1.2,0.0
715190283,helentorres@intel.com,Helen,Torres,888-327-8974,10005,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886.0,2786.0,1.32,1464,28,0.556,0.241
708300483,helen.walker@ibm.com,Helen,Walker,503-699-2274,30004,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605.0,7277.0,1.052,704,16,0.143,0.077
827111283,jroberts@ymail.com,Jack,Roberts,713-278-1434,60002,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578.0,31848.0,1.042,1109,28,0.474,0.018
758551608,edwardtorres@hotmail.com,Edward,Torres,213-411-2426,95004,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204.0,4001.0,0.803,1347,28,0.556,0.355
773146383,dorothy.harris@gmail.com,Dorothy,Harris,800-795-8172,90003,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517.0,14787.0,1.449,1756,33,1.2,0.145
778493808,johnhernandez@oracle.com,John,Hernandez,713-349-4278,80001,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0.0,3906.0,1.214,1756,32,1.0,0.0
720572508,kgarcia@hotmail.com,Karen,Garcia,713-345-9598,60001,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055.0,7775.0,0.977,1042,23,0.917,0.209
712661433,williamg@ymail.com,William,Green,800-311-8833,40001,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0.0,34516.0,1.621,1444,28,1.333,0.0
789172683,donaldj@aol.com,Donald,Jackson,888-205-6416,80005,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430.0,853.0,2.316,1741,27,0.588,0.626
738406533,james.hernandez@apple.com,James,Hernandez,415-296-4289,70005,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020.0,528.0,2.357,1719,27,1.7,0.793
799723908,donaldh@gmail.com,Donald,Hall,415-475-6022,10002,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435.0,18023.0,0.787,1217,27,0.8,0.074
771490833,raymondr@ymail.com,Raymond,Rivera,503-430-7980,10002,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227.0,3518.0,0.624,1140,40,0.6,0.259
720756708,jessicataylor@ymail.com,Jessica,Taylor,415-222-6734,30001,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549.0,1073.0,1.321,1878,30,1.143,0.591
779471883,clee@hotmail.com,Carol,Lee,503-679-3098,30004,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808.0,630.3,0.997,705,19,0.9,0.562
711525033,jennifer.johnson@cisco.com,Jennifer,Johnson,888-405-2094,90003,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179.0,992.0,1.224,1946,38,1.923,0.687
712813458,donaldw@gmail.com,Donald,Wilson,713-894-1540,50004,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517.0,17246.0,0.664,1414,35,0.25,0.127
714374133,jadams@ibm.com,Jason,Adams,213-460-2999,10001,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0.0,15769.0,1.041,602,15,0.364,0.0
717891558,dorothywilliams@intel.com,Dorothy,Williams,713-339-1585,60001,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200.0,1098.0,0.678,1052,32,0.6,0.667
716632758,karenl@google.com,Karen,Lewis,404-812-5131,20001,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363.0,439.0,0.75,1295,40,0.6,0.843
768563658,andrewa@ibm.com,Andrew,Anderson,800-978-1836,20002,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880.0,2578.0,1.107,1424,29,1.417,0.422
711427458,hwright@oracle.com,Helen,Wright,617-463-7425,50003,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978.0,5295.0,2.275,1359,25,1.083,0.156
714091983,jsanchez@ibm.com,John,Sanchez,713-392-2981,10005,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753.0,1583.0,0.69,1168,27,1.25,0.525
787584108,michaelnguyen@gmail.com,Michael,Nguyen,213-762-7660,95002,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016.0,1420.0,0.901,1097,33,0.833,0.587
712030833,marks@gmail.com,Mark,Sanchez,312-912-6823,95005,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0.0,34516.0,0.763,691,15,0.5,0.0
711481533,christopherh@hotmail.com,Christopher,Harris,503-403-2372,30002,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251.0,4675.0,0.944,1316,28,1.154,0.211
710082708,croberts@hotmail.com,Charles,Roberts,212-596-9944,90001,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102.0,21855.0,0.997,1276,26,0.733,0.088
708155733,markw@google.com,Mark,White,312-340-9700,95005,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634.0,13100.0,0.989,1289,23,0.917,0.111
788979258,robert.young@google.com,Robert,Young,713-495-5681,70003,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515.0,33001.0,0.592,1293,32,0.6,0.044
807986133,jsanchez@google.com,Jason,Sanchez,503-864-4257,10001,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817.0,4767.0,0.62,1353,35,0.667,0.276
788730933,ssanchez@oracle.com,Susan,Sanchez,713-237-3598,10001,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468.0,616.0,1.004,1132,28,0.556,0.704
711314058,kennethp@hotmail.com,Kenneth,Perez,900-381-7237,95004,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107.0,580.0,1.715,1670,17,2.4,0.656
717975333,edward.hernandez@cisco.com,Edward,Hernandez,800-363-2838,80002,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330.0,23970.0,1.072,837,15,2.0,0.053
715971108,jyoung@intel.com,Jacob,Young,702-307-4451,50004,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763.0,32753.0,1.266,1550,41,1.05,0.051
720096558,karen.rivera@aol.com,Karen,Rivera,212-575-8200,40005,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034.0,1182.0,0.758,1540,36,0.286,0.467
719580033,andrewyoung@aol.com,Andrew,Young,800-448-2962,40005,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030.0,880.0,0.769,1256,21,0.4,0.698
820582308,jonathans@hotmail.com,Jonathan,Smith,312-200-9194,50001,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528.0,21385.0,0.414,1394,35,0.522,0.067
789973308,paul.brown@intel.com,Paul,Brown,888-732-1198,40002,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932.0,22380.0,1.312,1341,24,1.182,0.079
712876233,anthonys@ibm.com,Anthony,Scott,617-556-1472,50003,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515.0,3757.0,0.857,1289,33,0.435,0.287
804595158,emilynguyen@intel.com,Emily,Nguyen,800-833-1329,20005,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517.0,4483.0,0.475,1112,23,1.875,0.36
714826758,michellehall@hotmail.com,Michelle,Hall,713-415-1844,70002,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801.0,5237.0,0.751,2339,57,0.966,0.256
779058108,matthewharris@google.com,Matthew,Harris,713-477-3032,40001,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823.0,713.0,0.703,1468,23,0.353,0.719
710790258,david.allen@oracle.com,David,Allen,800-685-6602,80002,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899.0,27005.0,0.85,1334,35,0.4,0.066
715623483,andrewthompson@ymail.com,Andrew,Thompson,713-877-4349,90004,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695.0,6872.0,1.242,1457,41,1.412,0.198
715156383,andreww@ymail.com,Andrew,Wright,702-646-1987,90004,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533.0,32983.0,0.924,1603,29,0.526,0.044
711013983,sandracarter@amazon.com,Sandra,Carter,617-359-2236,10001,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0.0,2158.0,0.585,615,12,0.714,0.0
755420433,ddavis@amazon.com,Donna,Davis,800-876-9612,10005,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417.0,8716.0,0.383,1068,20,0.818,0.14
794543958,georgec@ymail.com,George,Campbell,888-380-1357,70004,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219.0,33297.0,1.129,1590,27,2.0,0.035
716396358,briany@cisco.com,Brian,Young,888-373-1719,10001,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910.0,1175.0,0.921,1531,35,0.667,0.619
715398033,jacobwright@oracle.com,Jacob,Wright,713-585-1778,30002,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056.0,16984.0,0.607,1212,31,0.722,0.108
711743883,nancytorres@microsoft.com,Nancy,Torres,900-601-5442,50003,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0.0,4026.0,0.483,1237,32,0.6,0.0
719720058,robert.torres@gmail.com,Robert,Torres,713-571-1748,90005,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837.0,11919.0,1.932,1413,14,1.8,0.066
778992108,daniel.brown@gmail.com,Daniel,Brown,900-513-5412,40001,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0.0,5266.0,1.702,1516,29,1.636,0.0
717539808,rlopez@oracle.com,Ruth,Lopez,888-695-6513,20003,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0.0,9930.0,0.731,1276,21,1.333,0.0
714070758,stevenking@ymail.com,Steven,King,900-429-1075,60002,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953.0,29349.0,0.875,1564,35,2.182,0.062
714107958,william.clark@intel.com,William,Clark,213-264-3395,70003,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0.0,6576.0,0.579,1465,34,0.619,0.0
789140283,timothylee@oracle.com,Timothy,Lee,800-905-8235,30002,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037.0,627.0,0.85,1286,29,0.933,0.765
715550508,laura.adams@cisco.com,Laura,Adams,888-609-6780,95002,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440.0,95.0,1.705,1312,20,1.222,0.963
719712633,paul.brown@oracle.com,Paul,Brown,888-397-6617,50003,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895.0,814.0,1.656,1673,32,0.882,0.524
772629333,nicholasl@amazon.com,Nicholas,Lewis,415-509-1449,40002,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200.0,2254.0,0.597,1313,30,0.304,0.347
720336708,michael.walker@gmail.com,Michael,Walker,415-530-5276,20002,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706.0,2083.0,1.047,1609,42,0.68,0.45
802013583,bnguyen@hotmail.com,Benjamin,Nguyen,404-286-9280,10005,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250.0,7439.0,0.576,1158,19,0.727,0.232
711887583,jjohnson@intel.com,Joseph,Johnson,702-532-7545,70003,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628.0,3821.0,0.696,836,18,0.385,0.299
714778833,michelleh@aol.com,Michelle,Hall,213-500-8915,60004,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960.0,21072.0,0.619,1289,22,1.0,0.085
713843283,lperez@aol.com,Lisa,Perez,713-801-9765,30004,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053.0,32463.0,1.034,1487,26,0.733,0.059
779155158,erics@amazon.com,Eric,Sanchez,503-701-1315,40002,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264.0,1676.0,0.562,1259,33,0.5,0.43
721091583,broberts@intel.com,Betty,Roberts,312-431-2545,80001,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879.0,1152.0,0.788,1298,15,1.5,0.62
713572683,jason.martinez@cisco.com,Jason,Martinez,404-778-7741,60002,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0.0,1862.0,0.883,1226,34,0.789,0.0
716657058,laurajohnson@ibm.com,Laura,Johnson,800-266-8037,40002,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926.0,7432.0,0.762,1566,37,0.542,0.111
779509983,gregorywilliams@gmail.com,Gregory,Williams,617-766-5213,20005,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931.0,33585.0,0.828,1022,21,1.1,0.027
717929133,william.gonzalez@gmail.com,William,Gonzalez,415-308-4771,95003,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440.0,12010.0,1.283,1235,30,0.667,0.169
808284783,laurahill@google.com,Laura,Hill,503-677-8777,10003,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0.0,1438.3,0.813,1951,44,1.095,0.0
708476808,richardt@aol.com,Richard,Thomas,212-961-3969,50005,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960.0,31831.0,0.618,1047,31,0.824,0.058
710916408,gregorym@aol.com,Gregory,Moore,213-808-5930,10002,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886.0,6580.0,0.56,1342,32,0.391,0.223
708492558,wcampbell@cisco.com,William,Campbell,617-465-9437,30005,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865.0,14223.0,0.939,1107,21,1.625,0.057
799825758,samuelc@microsoft.com,Samuel,Clark,888-491-2054,40005,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674.0,1589.0,0.588,1251,35,0.346,0.513
718619883,sandraadams@ymail.com,Sandra,Adams,617-955-1808,30001,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706.0,788.0,1.674,1305,24,3.0,0.473
711844758,stephenyoung@amazon.com,Stephen,Young,503-470-9883,30004,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294.0,12257.0,0.791,1388,37,1.056,0.095
714798783,williamm@hotmail.com,William,Mitchell,212-998-4628,70003,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895.0,17991.0,1.826,1235,18,1.571,0.047
826762908,samuelgarcia@hotmail.com,Samuel,Garcia,213-522-8646,10002,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273.0,10703.0,1.024,2089,36,1.118,0.106
771894558,edwardrivera@aol.com,Edward,Rivera,404-802-1389,80004,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559.0,8405.0,1.873,1626,25,0.786,0.156
721074183,michael.campbell@cisco.com,Michael,Campbell,212-826-4304,90001,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196.0,22963.0,0.712,1111,24,1.0,0.05
715259583,caroll@cisco.com,Carol,Lewis,888-542-6885,10003,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901.0,3461.0,0.816,1553,38,1.0,0.355
718414008,ronald.allen@google.com,Ronald,Allen,212-450-1343,30001,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023.0,33493.0,1.004,1064,13,0.625,0.03
719666283,karen.lee@aol.com,Karen,Lee,702-518-6513,60002,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951.0,1223.0,0.766,1243,29,0.611,0.615
714877233,jeffreyflores@gmail.com,Jeffrey,Flores,312-601-2638,80004,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836.0,10426.0,1.584,1659,38,1.533,0.15
785387883,donnathomas@microsoft.com,Donna,Thomas,702-747-8109,10004,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540.0,2248.0,0.566,1594,47,0.382,0.407
771075258,smiller@apple.com,Samuel,Miller,213-643-2009,50004,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527.0,32989.0,0.526,1268,42,0.355,0.044
711318033,dtorres@oracle.com,Dennis,Torres,702-712-8446,60004,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0.0,2926.0,0.676,1304,24,0.846,0.0
783554958,paul.torres@oracle.com,Paul,Torres,212-361-7236,20002,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0.0,32090.0,0.567,1368,30,0.364,0.0
720201033,jonathanj@ibm.com,Jonathan,Jackson,404-779-6879,60002,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227.0,9442.0,0.622,720,23,0.353,0.191
